Favorite Color,Favorite Music Genre,Favorite Beverage,Favorite Soft Drink,Gender
Cool,Rock,Vodka,7UP/Sprite,1
Neutral,Hip hop,Vodka,Coca Cola/Pepsi,1
Warm,Rock,Wine,Coca Cola/Pepsi,1
Warm,Folk/Traditional,Whiskey,Fanta,1
Cool,Rock,Vodka,Coca Cola/Pepsi,1
Warm,Jazz/Blues,Doesn't drink,Fanta,1
Cool,Pop,Beer,Coca Cola/Pepsi,1
Warm,Pop,Whiskey,Fanta,1
Warm,Rock,Other,7UP/Sprite,1
Neutral,Pop,Wine,Coca Cola/Pepsi,1
Cool,Pop,Other,7UP/Sprite,1
Warm,Pop,Other,7UP/Sprite,1
Warm,Pop,Wine,7UP/Sprite,1
Warm,Electronic,Wine,Coca Cola/Pepsi,1
Cool,Rock,Beer,Coca Cola/Pepsi,1
Warm,Jazz/Blues,Wine,Coca Cola/Pepsi,1
Cool,Pop,Wine,7UP/Sprite,1
Cool,Rock,Other,Coca Cola/Pepsi,1
Cool,Rock,Other,Coca Cola/Pepsi,1
Cool,Pop,Doesn't drink,7UP/Sprite,1
Cool,Pop,Beer,Fanta,1
Warm,Jazz/Blues,Whiskey,Fanta,1
Cool,Rock,Vodka,Coca Cola/Pepsi,1
Warm,Pop,Other,Coca Cola/Pepsi,1
Cool,Folk/Traditional,Whiskey,7UP/Sprite,1
Warm,R&B and soul,Whiskey,Coca Cola/Pepsi,1
Cool,Pop,Beer,Other,1
Cool,Pop,Doesn't drink,Other,1
Cool,Pop,Doesn't drink,Coca Cola/Pepsi,1
Cool,Electronic,Doesn't drink,Fanta,1
Warm,Rock,Other,Coca Cola/Pepsi,1
Neutral,Rock,Beer,Coca Cola/Pepsi,1
Cool,R&B and soul,Beer,Coca Cola/Pepsi,1
Warm,R&B and soul,Wine,Other,0
Neutral,Hip hop,Beer,7UP/Sprite,0
Warm,Electronic,Other,Coca Cola/Pepsi,0
Neutral,Rock,Doesn't drink,Coca Cola/Pepsi,0
Cool,Pop,Other,Fanta,0
Cool,Pop,Whiskey,Fanta,0
Warm,Rock,Vodka,7UP/Sprite,0
Cool,Rock,Vodka,Coca Cola/Pepsi,0
Neutral,Pop,Doesn't drink,7UP/Sprite,0
Warm,R&B and soul,Doesn't drink,Coca Cola/Pepsi,0
Cool,Rock,Wine,7UP/Sprite,0
Cool,Folk/Traditional,Beer,Other,0
Cool,Hip hop,Beer,Coca Cola/Pepsi,0
Cool,Hip hop,Wine,Coca Cola/Pepsi,0
Cool,R&B and soul,Whiskey,7UP/Sprite,0
Cool,Rock,Doesn't drink,Other,0
Warm,Hip hop,Beer,Coca Cola/Pepsi,0
Cool,R&B and soul,Doesn't drink,Coca Cola/Pepsi,0
Cool,Rock,Doesn't drink,Coca Cola/Pepsi,0
Cool,Hip hop,Doesn't drink,Other,0
Warm,Rock,Beer,Fanta,0
Cool,Electronic,Doesn't drink,Fanta,0
Cool,Electronic,Other,Fanta,0
Warm,Folk/Traditional,Other,Fanta,0
Warm,Electronic,Vodka,Fanta,0
Warm,Jazz/Blues,Vodka,Coca Cola/Pepsi,0
Cool,Pop,Whiskey,Other,0
Cool,Electronic,Whiskey,Coca Cola/Pepsi,0
Cool,Rock,Vodka,Coca Cola/Pepsi,0
Cool,Hip hop,Beer,Coca Cola/Pepsi,0
Neutral,Hip hop,Doesn't drink,Fanta,0
Cool,Rock,Wine,Coca Cola/Pepsi,0
Cool,Electronic,Beer,Coca Cola/Pepsi,0
